,feature_id
1041,22159782
1042,22159946
1043,22158908
1044,22163696
1045,22160388
1046,22162374
1047,22164596
1048,22159904
1049,22162304
1050,22160906
1051,22160032
1052,22163308
1053,22152341
1054,22164314
1055,22159736
1056,22164108
1057,22163888
1058,22164640
1059,22160582
1060,22160242
1061,22161214
1062,22164268
1063,22163286
1064,22159506
1065,22161012
1066,22161000
1067,22160320
1068,22160280
1069,22159778
1070,22163394
1071,22160390
1072,22159774
1073,22163428
1074,22160070
1075,22159886
1076,22161416
1077,22158546
1078,22160664
1079,22161352
1080,22160016
1081,22164958
1082,22164726
1083,22163538
1084,22161102
1085,22160652
1086,22160544
1087,22164104
1088,22160512
1089,22161458
1090,22160442
1091,22158558
1092,22161676
1093,22164780
1094,22163550
1095,22165178
1096,22161100
1097,22162570
1098,22159472
1099,22158692
1100,22159418
1101,22163922
1102,22160834
1103,22160092
1104,22160082
1105,22158508
1106,22160590
1107,22150153
1108,22164826
1109,22160636
1110,22158524
1111,22163300
1112,22158544
1113,22164934
1114,22159908
1115,22159474
1116,22164240
1117,22159738
1118,22164608
1119,22164008
1120,22163842
1121,22164460
1122,22163564
1123,22161698
1124,22160400
1125,22164516
1126,22164142
1127,22163268
1128,22162478
1129,22165008
1130,22164362
1131,22152359
1132,22160518
1133,22162588
1134,22159860
1135,22158906
1136,22163416
1137,22164184
1138,22161116
1139,22163328
1140,22158528
1141,22159936
1142,22159416
1143,22165174
1144,22163484
1145,22160916
1146,22159954
1147,22165192
1148,22162382
1149,22164474
1150,22164468
1151,22164244
1152,22163684
1153,22163340
1154,22163854
1155,22165254
1156,22161998
1157,22162574
1158,22161656
1159,22159504
1160,22160952
1161,22161312
1162,22160112
1163,22163530
1164,22160392
1165,22160616
1166,22162442
1167,22165002
1168,22163542
1169,22163310
1170,22160800
1171,22161014
1172,22164622
1173,22164644
1174,22159812
1175,166912862
1176,22160504
1177,22160670
1178,22164144
1179,22164134
1180,22163392
1181,22161272
1182,22159650
1183,22165376
1184,22160060
1185,22161128
1186,22164858
1187,22165040
1188,22163932
1189,22158548
1190,22164702
1191,22164690
1192,22159658
1193,22159590
1194,22163862
1195,22164988
1196,22162520
1197,22160278
1198,22164338
1199,22163924
1200,22165258
1201,22165110
1202,22165092
1203,22163606
1204,22165176
1205,22163918
1206,22163872
1207,22164132
1208,22163492
1209,22164444
1210,22164568
1211,22163436
1212,22163502
1213,22165132
1214,22163412
1215,22163488
1216,22164140
1217,22165094
1218,22163618
1219,19490448
1220,22165100
1221,22165064
1222,22164506
1223,22165196
1224,22165194
1225,22165188
1226,22165346
1227,22165186
1228,22165164
1229,22165180
1230,22165170
1231,22165182
1232,22165148
1233,22165504
1234,22165152
1235,22165136
1236,22165156
1237,22165126
1238,22165150
1239,22165172
1240,22165140
1241,22165142
1242,22165162
1243,22165134
1244,22165168
1245,22165116
1246,22165488
1247,22165586
1248,22165122
1249,22165074
1250,22165342
1251,22165584
1252,22165066
1253,22165484
1254,22165006
1255,22164956
1256,22164984
1257,22165030
1258,22165112
1259,22164964
1260,22164918
1261,22164872
1262,22165058
1263,22165026
1264,22165056
1265,22165098
1266,22165124
1267,22165336
1268,22165494
1269,22165128
1270,22165010
1271,22165020
1272,22165000
1273,22165078
1274,22164850
1275,22165070
1276,22164974
1277,22165018
1278,22164992
1279,22165048
1280,22165052
1281,22164942
1282,22165014
1283,22165012
1284,22165038
1285,22164914
1286,22164998
1287,22165334
1288,22164936
1289,22164976
1290,22164856
1291,22164950
1292,22165022
1293,22164906
1294,22164962
1295,22164816
1296,22164982
1297,22164952
1298,22164916
1299,22164888
1300,22164852
1301,22164796
1302,22164892
1303,22164990
1304,22164798
1305,22164980
1306,22164868
1307,22164886
1308,22164972
1309,22165004
1310,22164802
1311,22164884
1312,22164946
1313,22164860
1314,22165572
1315,22164876
1316,22164724
1317,22164836
1318,22164896
1319,22164922
1320,22164878
1321,22164844
1322,22164908
1323,22164848
1324,22164924
1325,22164746
1326,22164806
1327,22165328
1328,22164732
1329,22164722
1330,22164790
1331,22164792
1332,22164772
1333,22164684
1334,22164708
1335,22164710
1336,22164830
1337,22164804
1338,22164742
1339,22164636
1340,22164776
1341,22164716
1342,22164818
1343,22164812
1344,22164744
1345,22164738
1346,22164728
1347,22164662
1348,22164762
1349,22164648
1350,22164784
1351,22164734
1352,22164770
1353,22165270
1354,22164686
1355,22164768
1356,22165280
1357,22164672
1358,22164704
1359,22164678
1360,22165278
1361,22165326
